food_no,category,food,measure,weight_g,water_pct,calories,protein_g,total_fat_g,sat_fat_g,mono_fat_g,poly_fat_g,cholesterol_mg,carbohydrate_g,fiber_g,calcium_mg,iron_mg,potassium_mg,sodium_mg,vit_a_iu,vit_a_re,thiamin_mg,riboflavin_mg,niacin_mg,vit_c_mg
1043,"Cooked, drained",,4 spears,60,91,17,2,Tr,0.1,Tr,0.1,0,3,1.0,14,0.4,131,2,491,49,0.04,0.06,0.6,15
1044,"Cooked, drained","Canned, spears, about 5"" long, drained",1 cup,242,94,46,5,2,0.4,0.1,0.7,0,6,3.9,39,4.4,416,695,1285,128,0.15,0.24,2.3,45
1045,"Cooked, drained",,4 spears,72,94,14,2,Tr,0.1,Tr,0.2,0,2,1.2,12,1.3,124,207,382,38,0.04,0.07,0.7,13
1046,"Cooked, drained","Bamboo shoots, canned, drained",1 cup,131,94,25,2,1,0.1,Tr,0.2,0,4,1.8,10,0.4,105,9,10,1,0.03,0.03,0.2,1
1047,"Lima, immature seeds, frozen,",Ford hooks,1 cup,170,74,170,10,1,0.1,Tr,0.3,0,32,9.9,37,2.3,694,90,323,32,0.13,0.10,1.8,22
1048,"Lima, immature seeds, frozen,",Baby limas,1 cup,180,72,189,12,1,0.1,Tr,0.3,0,35,10.8,50,3.5,740,52,301,31,0.13,0.10,1.4,10
1049,From raw,Green,1 cup,125,89,44,2,Tr,0.1,Tr,0.2,0,10,4.0,58,1.6,374,4,833,84,0.09,0.12,0.8,12
1050,From raw,Yellow,1 cup,125,89,44,2,Tr,0.1,Tr,0.2,0,10,4.1,58,1.6,374,4,101,10,0.09,0.12,0.8,12
1051,From frozen,Green,1 cup,135,91,38,2,Tr,0.1,Tr,0.1,0,9,4.1,66,1.2,170,12,541,54,0.05,0.12,0.5,6
1052,From frozen,Yellow,1 cup,135,91,38,2,Tr,0.1,Tr,0.1,0,9,4.1,66,1.2,170,12,151,15,0.05,0.12,0.5,6
1053,"Canned, drained",Green,1 cup,135,93,27,2,Tr,Tr,Tr,0.1,0,6,2.6,35,1.2,147,354,471,47,0.02,0.08,0.3,6
1054,"Canned, drained",Yellow,1 cup,135,93,27,2,Tr,Tr,Tr,0.1,0,6,1.8,35,1.2,147,339,142,15,0.02,0.08,0.3,6
1055,Bean sprouts (mung),Raw,1 cup,104,90,31,3,Tr,Tr,Tr,0.1,0,6,1.9,14,0.9,155,6,22,2,0.09,0.13,0.8,14
1056,Bean sprouts (mung),"Cooked, drained",1 cup,124,93,26,3,Tr,Tr,Tr,Tr,0,5,1.5,15,0.8,125,12,17,1,0.06,0.13,1.0,14
1057,"Cooked, drained",Slices,1 cup,170,87,75,3,Tr,Tr,0.1,0.1,0,17,3.4,27,1.3,519,131,60,7,0.05,0.07,0.6,6
1058,"Cooked, drained","Whole beet, 2"" dia",1 beet,50,87,22,1,Tr,Tr,Tr,Tr,0,5,1.0,8,0.4,153,39,18,2,0.01,0.02,0.2,2
1059,"Canned, drained",Slices,1 cup,170,91,53,2,Tr,Tr,Tr,0.1,0,12,2.9,26,3.1,252,330,19,2,0.02,0.07,0.3,7
1060,"Canned, drained",Whole beet,1 beet,24,91,7,Tr,Tr,Tr,Tr,Tr,0,2,0.4,4,0.4,36,47,3,Tr,Tr,0.01,Tr,1
1061,"Canned, drained","Beet greens, leaves and stems, cooked, drained, 1"" pieces",1 cup,144,89,39,4,Tr,Tr,0.1,0.1,0,8,4.2,164,2.7,1309,347,7344,734,0.17,0.42,0.7,36
1062,"Black eyed peas, immature",From raw,1 cup,165,75,160,5,1,0.2,0.1,0.3,0,34,8.3,211,1.8,690,7,1305,130,0.17,0.24,2.3,4
1063,"Black eyed peas, immature",From frozen,1 cup,170,66,224,14,1,0.3,0.1,0.5,0,40,10.9,39,3.6,638,9,128,14,0.44,0.11,1.2,4
1064,Raw,Chopped or diced,1 cup,88,91,25,3,Tr,Tr,Tr,0.1,0,5,2.6,42,0.8,286,24,1357,136,0.06,0.10,0.6,82
1065,Raw,"Spear, about 5"" long",1 spear,31,91,9,1,Tr,Tr,Tr,0.1,0,2,0.9,15,0.3,101,8,478,48,0.02,0.04,0.2,29
1066,Raw,Flower cluster,1 floweret,11,91,3,Tr,Tr,Tr,Tr,Tr,0,1,0.3,5,0.1,36,3,330,33,0.01,0.01,0.1,10
1067,From raw,Chopped,1 cup,156,91,44,5,1,0.1,Tr,0.3,0,8,4.5,72,1.3,456,41,2165,217,0.09,0.18,0.9,116
1068,From raw,"Spear, about 5"" long",1 spear,37,91,10,1,Tr,Tr,Tr,0.1,0,2,1.1,17,0.3,108,10,514,51,0.02,0.04,0.2,28
1069,From raw,"From frozen, chopped",1 cup,184,91,52,6,Tr,Tr,Tr,0.1,0,10,5.5,94,1.1,331,44,3481,348,0.10,0.15,0.8,74
1070,"Brussels sprouts, cooked,",From raw,1 cup,156,87,61,4,1,0.2,0.1,0.4,0,14,4.1,56,1.9,495,33,1122,112,0.17,0.12,0.9,97
1071,"Brussels sprouts, cooked,",From frozen,1 cup,155,87,65,6,1,0.1,Tr,0.3,0,13,6.4,37,1.1,504,36,913,91,0.16,0.18,0.8,71
1072,"Cabbage, common varieties,",Raw,1 cup,70,92,18,1,Tr,Tr,Tr,0.1,0,4,1.6,33,0.4,172,13,93,9,0.04,0.03,0.2,23
1073,"Cabbage, common varieties,","Cooked, drained",1 cup,150,94,33,2,1,0.1,Tr,0.3,0,7,3.5,47,0.3,146,12,198,20,0.09,0.08,0.4,30
1074,"Cabbage, Chinese, shredded,",Pak choi or bok choy,1 cup,170,96,20,3,Tr,Tr,Tr,0.1,0,3,2.7,158,1.8,631,58,4366,437,0.05,0.11,0.7,44
1075,"Cabbage, Chinese, shredded,",Pe tsai,1 cup,119,95,17,2,Tr,Tr,Tr,0.1,0,3,3.2,38,0.4,268,11,1151,115,0.05,0.05,0.6,19
1076,"Cabbage, Chinese, shredded,","Cabbage, red, raw, shredded",1 cup,70,92,19,1,Tr,Tr,Tr,0.1,0,4,1.4,36,0.3,144,8,28,3,0.04,0.02,0.2,40
1077,"Cabbage, Chinese, shredded,","Cabbage, savoy, raw, shredded",1 cup,70,91,19,1,Tr,Tr,Tr,Tr,0,4,2.2,25,0.3,161,20,700,70,0.05,0.02,0.2,22
1078,"Cabbage, Chinese, shredded,","Carrot juice, canned",1 cup,236,89,94,2,Tr,0.1,Tr,0.2,0,22,1.9,57,1.1,689,68,25833,2584,0.22,0.13,0.9,20
1079,Raw,"Whole, 7"" long 1 carrot",,72,88,31,1,Tr,Tr,Tr,0.1,0,7,2.2,19,0.4,233,25,20253,2025,0.07,0.04,0.7,7
1080,Raw,Grated,1 cup,110,88,47,1,Tr,Tr,Tr,0.1,0,11,3.3,30,0.6,355,39,30942,3094,0.11,0.06,1.0,10
1081,Raw,Baby,1 medium,10,90,4,Tr,Tr,Tr,Tr,Tr,0,1,0.2,2,0.1,28,4,1501,150,Tr,0.01,0.1,1
1082,"Cooked, sliced, drained",From raw,1 cup,156,87,70,2,Tr,0.1,Tr,0.1,0,16,5.1,48,1.0,354,103,38304,3830,0.05,0.09,0.8,4
1083,"Cooked, sliced, drained",From frozen,1 cup,146,90,53,2,Tr,Tr,Tr,0.1,0,12,5.1,41,0.7,231,86,25845,2584,0.04,0.05,0.6,4
1084,"Cooked, sliced, drained","Canned, sliced, drained",1 cup,146,93,37,1,Tr,0.1,Tr,0.1,0,8,2.2,37,0.9,261,353,20110,2010,0.03,0.04,0.8,4
1085,Cauliflower,Raw,1 floweret,13,92,3,Tr,Tr,Tr,Tr,Tr,0,1,0.3,3,0.1,39,4,2,Tr,0.01,0.01,0.1,6
1086,Cauliflower,,1 cup,100,92,25,2,Tr,Tr,Tr,0.1,0,5,2.5,22,0.4,303,30,19,2,0.06,0.06,0.5,46
1087,Cauliflower,From raw,1 cup,124,93,29,2,1,0.1,Tr,0.3,0,5,3.3,20,0.4,176,19,21,2,0.05,0.06,0.5,55
1088,Cauliflower,,3 flowerets,54,93,12,1,Tr,Tr,Tr,0.1,0,2,1.5,9,0.2,77,8,9,1,0.02,0.03,0.2,24
1089,Cauliflower,From frozen,1 cup,180,94,34,3,Tr,0.1,Tr,0.2,0,7,4.9,31,0.7,250,32,40,4,0.07,0.10,0.6,56
1090,Raw,"Stalk, 7 to 8"" long",1 stalk,40,95,6,Tr,Tr,Tr,Tr,Tr,0,1,0.7,16,0.2,115,35,54,5,0.02,0.02,0.1,3
1091,Raw,"Pieces, diced",1 cup,120,95,19,1,Tr,Tr,Tr,0.1,0,4,2.0,48,0.5,344,104,161,16,0.06,0.05,0.4,8
1092,"Cooked, drained","Stalk, medium",1 stalk,38,94,7,Tr,Tr,Tr,Tr,Tr,0,2,0.6,16,0.2,108,35,50,5,0.02,0.02,0.1,2
1093,"Cooked, drained","Pieces, diced",1 cup,150,94,27,1,Tr,0.1,Tr,0.1,0,6,2.4,63,0.6,426,137,198,20,0.06,0.07,0.5,9
1094,"Cooked, drained","Chives, raw, chopped",1 tbsp,3,91,1,Tr,Tr,Tr,Tr,Tr,0,Tr,0.1,3,Tr,9,Tr,131,13,Tr,Tr,Tr,2
1095,"Cooked, drained","Cilantro, raw",1 tsp,2,92,Tr,Tr,Tr,Tr,Tr,Tr,0,Tr,Tr,1,Tr,8,1,98,10,Tr,Tr,Tr,1
1096,"Cooked, drained","Coleslaw, home prepared",1 cup,120,82,83,2,3,0.5,0.8,1.6,10,15,1.8,54,0.7,217,28,762,98,0.08,0.07,0.3,39
1097,"Collards, cooked, drained,",From raw,1 cup,190,92,49,4,1,0.1,Tr,0.3,0,9,5.3,226,0.9,494,17,5945,595,0.08,0.20,1.1,35
1098,"Collards, cooked, drained,",From frozen,1 cup,170,88,61,5,1,0.1,Tr,0.4,0,12,4.8,357,1.9,427,85,10168,1017,0.08,0.20,1.1,45
1099,"Cooked, drained","From raw, kernels on cob",1 ear,77,70,83,3,1,0.2,0.3,0.5,0,19,2.2,2,0.5,192,13,167,17,0.17,0.06,1.2,5
1100,From frozen,Kernels on cob,1 ear,63,73,59,2,Tr,0.1,0.1,0.2,0,14,1.8,2,0.4,158,3,133,13,0.11,0.04,1.0,3
1101,From frozen,Kernels,1 cup,164,77,131,5,1,0.1,0.2,0.3,0,32,3.9,7,0.6,241,8,361,36,0.14,0.12,2.1,5
1102,Canned,Cream style,1 cup,256,79,184,4,1,0.2,0.3,0.5,0,46,3.1,8,1.0,343,730,248,26,0.06,0.14,2.5,12
1103,Canned,"Whole kernel, vacuum pack",1 cup,210,77,166,5,1,0.2,0.3,0.5,0,41,4.2,11,0.9,391,571,506,50,0.09,0.15,2.5,17
1104,Canned,"Corn, sweet, white, cooked, drained",1 ear,77,70,83,3,1,0.2,0.3,0.5,0,19,2.1,2,0.5,192,13,0,0,0.17,0.06,1.2,5
1105,Peeled,Sliced,1 cup,119,96,14,1,Tr,Tr,Tr,0.1,0,3,0.8,17,0.2,176,2,88,8,0.02,0.01,0.1,3
1106,Peeled,"Whole, 8"" long",1 large,280,96,34,2,Tr,0.1,Tr,0.2,0,7,2.0,39,0.4,414,6,207,20,0.06,0.03,0.3,8
1107,Unpeeled,Sliced,1 cup,104,96,14,1,Tr,Tr,Tr,0.1,0,3,0.8,15,0.3,150,2,224,22,0.02,0.02,0.2,6
1108,Unpeeled,"Whole, 8"" long",1 large,301,96,39,2,Tr,0.1,Tr,0.2,0,8,2.4,42,0.8,433,6,647,63,0.07,0.07,0.7,16
1109,Unpeeled,"Dandelion greens, cooked, drained",1 cup,105,90,35,2,1,0.2,Tr,0.3,0,7,3.0,147,1.9,244,46,12285,1229,0.14,0.18,0.5,19
1110,Unpeeled,"Dill weed, raw",5 sprigs,1,86,Tr,Tr,Tr,Tr,Tr,Tr,0,Tr,Tr,2,0.1,7,1,77,8,Tr,Tr,Tr,1
1111,Unpeeled,"Eggplant, cooked, drained",1 cup,99,92,28,1,Tr,Tr,Tr,0.1,0,7,2.5,6,0.3,246,3,63,6,0.08,0.02,0.6,1
1112,Unpeeled,"Endive, curly (including escarole), raw, small pieces",1 cup,50,94,9,1,Tr,Tr,Tr,Tr,0,2,1.6,26,0.4,157,11,1025,103,0.04,0.04,0.2,3
1113,Unpeeled,"Garlic, raw",1 clove,3,59,4,Tr,Tr,Tr,Tr,Tr,0,1,0.1,5,0.1,12,1,0,0,0.01,Tr,Tr,1
1114,Unpeeled,"Hearts of palm, canned",1 piece,33,90,9,1,Tr,Tr,Tr,0.1,0,2,0.8,19,1.0,58,141,0,0,Tr,0.02,0.1,3
1115,Unpeeled,"Jerusalem artichoke, raw, sliced",1 cup,150,78,114,3,Tr,0.0,Tr,Tr,0,26,2.4,21,5.1,644,6,30,3,0.30,0.09,2.0,6
1116,"Kale, cooked, drained, chopped",From raw,1 cup,130,91,36,2,1,0.1,Tr,0.3,0,7,2.6,94,1.2,296,30,9620,962,0.07,0.09,0.7,53
